"You will be redirected to Adyen website when you place an order.", "U wordt doorgestuurd naar de Adyen website bij het plaatsen van uw order."
"%s ( Qty: %s ) (Price: %s %s ) <br />","%s ( Aantal: %s ) (Prijs: %s %s ) <br />"
"Adyen %s <br /> authResult: %s <br /> pspReference: %s"
"Adyen %s <br /> eventCode: %s <br /> pspReference: %s <br /> success: %s"
"Adyen response(s): %s <br /> pspReference: %s"
"Authorize Only","Alleen autorisatie"
"Authorize and Capture","Autoriseren en bevestigen"
"Can not connect payment service. Please try again later.","Kan betaalservice niet bereiken. Probeer het later nog eens."
"Capture Mode set to Manual","Capture mode is handmatig"
"Customer was redirected to Adyen.", "Klant is doorgestuurd aan Adyen"
"Order can not Hold","Kan bestelling niet vasthouden"
"Order can not be canceled", "Kan order niet annuleren"
"Order rows: <br />","Bestel rijen: <br />"
"Shipment cost: %s %s <br />","Verzendkosten: %s %s <br />"
"System error, please try again later","Systeem error. Probeer het later nog eens."
"System error, please try again later: %s", "Systeem error. Probeer het later nog eens: %s"
"The payment is REFUSED by Adyen.", "Betaalmethode is TEGENGEHOUDEN door Adyen."
"You will be redirected to Adyen in a few seconds.", "U wordt doorgestuurd naar Adyen."
"Your payment failed, Please try again later","Betaalmethode niet geslaagd. Probeer het later nog eens."
"--Please Select--","--Selecteren--"
"Account Number","Account nummmer"
"Account holder name","Account houder naam"
"Account holder: %s","Account houder: %s"
"Account number: xxx%s","Account nummer: xxx%s"
"Bank Location","Bank locatie"
"Bank Location (City)","Bank locatie (Stad)"
"Bank Location ID","Bank locatie ID"
"Bank Name","Bank naam"
"Bank code: %s"
"Bank name: %s","Bank naam: %s"
"Card Verification Number","Kaart verificatie nummer CVC"
"Credit Card Number","Credit Card Nummer"
"Credit Card Number: xxxx-%s","Credit Card Nummer: xxxx-%s"
"Credit Card Type"
"Credit Card Type: %s"
"Expiration Date","Expiratie datum"
"Expiration Date: %s/%s","Expiratie Datum: %s/%s"
"Name on Card","Naam op de kaart"
"Name on the Card: %s","Naam op de kaart: %s"
"Payment Method: %s","Betaalmethode: %s"
"Submitting payment information...","Betaalinformatie wordt verzonden..."
"What is this?","Wat is dit?"
"Order email sent to shopper.","Bevestingsemail is verzonden aan klant."
"The payment is PENDING by Adyen.","Betaling PENDING by Adyen."
"The payment is AUTHORIZED by Adyen.","Betaling AUTHORIZED by Adyen."
"There has an error occurred with your Adyen payment.","Er is een probleem met uw betaling bij Adyen."
"There was an error with your payment.","Uw betaling is niet afgerond."
"You will be redirected to Adyen website when you place an order.","U wordt doorgestuurd naar de Adyen bij het plaatsen van uw order."
"Your payment is cancelled.","Betaling geannuleerd."
"Your payment is CANCELLED","Betaling geannuleerd."
"Your payment is pending.","Betaling wordt verwerkt."
"Your payment is refused.","Betaling tegengehouden."
"Your payment is authorized.","Betaling bevestigd."
"Remember these details","Onthoud deze gegevens"
"Choose Your Bank","Kies je bank"
"You chose an invalid bank","De bank moet nog ingevuld worden"
